"case_study","session_id","group_local","group_global","average_final_grade","student_count","min_final_grade","max_final_grade"
"case_study_1","1","1","case_study_1_1_1","91","1","91","91"
"case_study_1","1","2","case_study_1_1_2","98","4","98","98"
"case_study_1","1","3","case_study_1_1_3","86.5","2","85","88"
"case_study_1","1","4","case_study_1_1_4","98","3","98","98"
"case_study_1","1","5","case_study_1_1_5","88","4","88","88"
"case_study_1","1","6","case_study_1_1_6","98","4","98","98"
"case_study_1","1","7","case_study_1_1_7","90","4","90","90"
"case_study_1","1","8","case_study_1_1_8","90.5","4","89","91"
"case_study_1","1","9","case_study_1_1_9","85","4","85","85"
"case_study_1","1","10","case_study_1_1_10","99","4","99","99"
"case_study_1","2","1","case_study_1_2_1","85","4","85","85"
"case_study_1","2","2","case_study_1_2_2","97","3","97","97"
"case_study_1","2","3","case_study_1_2_3","97","4","97","97"
"case_study_1","2","4","case_study_1_2_4","91","4","91","91"
"case_study_1","2","5","case_study_1_2_5","90","4","90","90"
"case_study_1","2","6","case_study_1_2_6","89","4","89","89"
"case_study_1","2","7","case_study_1_2_7","100","3","100","100"
"case_study_1","2","8","case_study_1_2_8","85","4","85","85"
"case_study_1","2","9","case_study_1_2_9","81.5","2","79","84"
"case_study_1","2","10","case_study_1_2_10","90","4","90","90"
"case_study_1","3","1","case_study_1_3_1","94","4","94","94"
"case_study_1","3","2","case_study_1_3_2","95.75","4","92","97"
"case_study_1","3","3","case_study_1_3_3","100","4","100","100"
"case_study_1","3","4","case_study_1_3_4","98","4","98","98"
"case_study_1","3","5","case_study_1_3_5","89","4","89","89"
"case_study_1","3","6","case_study_1_3_6","92","3","92","92"
"case_study_1","3","7","case_study_1_3_7","92","2","92","92"
"case_study_1","3","8","case_study_1_3_8","82","4","82","82"
"case_study_1","3","9","case_study_1_3_9","83","4","83","83"
"case_study_1","3","10","case_study_1_3_10","90","3","90","90"
"case_study_1","4","1","case_study_1_4_1","95","4","95","95"
"case_study_1","4","2","case_study_1_4_2","73","3","73","73"
"case_study_1","4","3","case_study_1_4_3","89","3","89","89"
"case_study_1","4","4","case_study_1_4_4","92","4","92","92"
"case_study_1","4","5","case_study_1_4_5","77","4","77","77"
"case_study_1","4","6","case_study_1_4_6","92","3","92","92"
"case_study_1","4","7","case_study_1_4_7","82.5","4","80","85"
"case_study_1","4","8","case_study_1_4_8","81","3","81","81"
"case_study_1","4","9","case_study_1_4_9","90","1","90","90"
"case_study_1","5","1","case_study_1_5_1","98","4","98","98"
"case_study_1","5","2","case_study_1_5_2","93","3","93","93"
"case_study_1","5","3","case_study_1_5_3","96","4","96","96"
"case_study_1","5","4","case_study_1_5_4","86","3","86","86"
"case_study_1","5","5","case_study_1_5_5","86.25","4","84","87"
"case_study_1","5","6","case_study_1_5_6","97","3","97","97"
"case_study_1","5","7","case_study_1_5_7","81","2","81","81"
"case_study_1","5","8","case_study_1_5_8","91","4","91","91"
"case_study_1","5","9","case_study_1_5_9","86","2","86","86"
"case_study_1","5","10","case_study_1_5_10","92","1","92","92"
"case_study_1","6","1","case_study_1_6_1","79","1","79","79"
"case_study_1","6","2","case_study_1_6_2","87","4","87","87"
"case_study_1","6","3","case_study_1_6_3","87","3","87","87"
"case_study_1","6","4","case_study_1_6_4","87","4","87","87"
"case_study_1","6","5","case_study_1_6_5","87","2","87","87"
"case_study_1","6","6","case_study_1_6_6","94","4","94","94"
"case_study_1","6","7","case_study_1_6_7","85","3","85","85"
"case_study_1","6","8","case_study_1_6_8","96","4","96","96"
"case_study_1","6","9","case_study_1_6_9","85","2","85","85"
"case_study_1","6","10","case_study_1_6_10","84","4","84","84"
"case_study_1","6","11","case_study_1_6_11","78.3333333333333","3","75","80"
"case_study_1","6","12","case_study_1_6_12","81","2","81","81"
"case_study_1","7","1","case_study_1_7_1","68","2","68","68"
"case_study_1","7","2","case_study_1_7_2","87","2","87","87"
"case_study_1","7","3","case_study_1_7_3","95","2","94","96"
"case_study_1","7","4","case_study_1_7_4","82","2","82","82"
"case_study_1","7","5","case_study_1_7_5","90","2","90","90"
"case_study_1","7","6","case_study_1_7_6","79","2","79","79"
"case_study_1","7","7","case_study_1_7_7","70","2","70","70"
"case_study_1","7","8","case_study_1_7_8","80","3","80","80"
"case_study_1","8","1","case_study_1_8_1","76","2","76","76"
"case_study_1","8","2","case_study_1_8_2","85","2","85","85"
"case_study_1","8","3","case_study_1_8_3","85","2","85","85"
"case_study_1","8","4","case_study_1_8_4","74","2","74","74"
"case_study_1","8","5","case_study_1_8_5","79.6666666666667","3","79","80"
"case_study_1","8","6","case_study_1_8_6","89","2","89","89"
"case_study_1","8","7","case_study_1_8_7","90","3","90","90"
"case_study_1","8","8","case_study_1_8_8","75.3333333333333","3","74","76"
"case_study_1","8","9","case_study_1_8_9","92","1","92","92"
"case_study_1","9","1","case_study_1_9_1","99","3","99","99"
"case_study_1","9","2","case_study_1_9_2","99","3","99","99"
"case_study_1","9","4","case_study_1_9_4","81","3","81","81"
"case_study_1","9","5","case_study_1_9_5","98","3","98","98"
"case_study_1","9","6","case_study_1_9_6","83","2","83","83"
"case_study_1","9","7","case_study_1_9_7","83","2","83","83"
"case_study_1","9","8","case_study_1_9_8","67","2","67","67"
"case_study_1","9","9","case_study_1_9_9","79","2","77","81"
"case_study_1","10","1","case_study_1_10_1","99","1","99","99"
"case_study_1","10","2","case_study_1_10_2","98","2","98","98"
"case_study_1","10","3","case_study_1_10_3","62","2","60","64"
"case_study_1","10","4","case_study_1_10_4","71","3","71","71"
"case_study_1","10","5","case_study_1_10_5","81","1","81","81"
"case_study_1","10","6","case_study_1_10_6","92","3","92","92"
"case_study_1","10","7","case_study_1_10_7","84","2","84","84"
"case_study_1","10","8","case_study_1_10_8","88","2","88","88"
"case_study_1","10","9","case_study_1_10_9","95.3333333333333","3","94","96"
"case_study_1","10","10","case_study_1_10_10","80","3","80","80"
"case_study_2","11","1","case_study_2_11_1","95","2","95","95"
"case_study_2","11","2","case_study_2_11_2","74","3","74","74"
"case_study_2","11","3","case_study_2_11_3","85","3","85","85"
"case_study_2","11","4","case_study_2_11_4","97","2","97","97"
"case_study_2","11","5","case_study_2_11_5","100","2","100","100"
"case_study_2","11","6","case_study_2_11_6","95","2","95","95"
"case_study_2","11","7","case_study_2_11_7","97","3","97","97"
"case_study_2","11","8","case_study_2_11_8","85","2","85","85"
"case_study_2","11","9","case_study_2_11_9","86","3","86","86"
"case_study_2","12","1","case_study_2_12_1","83","1","83","83"
"case_study_2","12","2","case_study_2_12_2","74","2","74","74"
"case_study_2","12","3","case_study_2_12_3","88","3","88","88"
"case_study_2","12","4","case_study_2_12_4","82","2","82","82"
"case_study_2","12","5","case_study_2_12_5","79","1","79","79"
"case_study_2","12","6","case_study_2_12_6","90","2","90","90"
"case_study_2","12","7","case_study_2_12_7","94","3","94","94"
"case_study_2","12","8","case_study_2_12_8","89","2","89","89"
"case_study_2","12","9","case_study_2_12_9","100","3","100","100"
"case_study_2","12","10","case_study_2_12_10","83","1","83","83"
"case_study_2","13","1","case_study_2_13_1","93","3","93","93"
"case_study_2","13","2","case_study_2_13_2","90","3","90","90"
"case_study_2","13","3","case_study_2_13_3","85","3","85","85"
"case_study_2","13","4","case_study_2_13_4","85","1","85","85"
"case_study_2","13","5","case_study_2_13_5","84","2","84","84"
"case_study_2","13","6","case_study_2_13_6","84","3","84","84"
"case_study_2","13","7","case_study_2_13_7","92","2","92","92"
"case_study_2","13","8","case_study_2_13_8","85","3","85","85"
"case_study_2","13","9","case_study_2_13_9","100","2","100","100"
"case_study_2","13","10","case_study_2_13_10","80","1","80","80"
"case_study_2","14","1","case_study_2_14_1","75","2","75","75"
"case_study_2","14","2","case_study_2_14_2","89","3","89","89"
"case_study_2","14","3","case_study_2_14_3","92","2","92","92"
"case_study_2","14","4","case_study_2_14_4","94","2","94","94"
"case_study_2","14","5","case_study_2_14_5","75","2","75","75"
"case_study_2","14","6","case_study_2_14_6","88","3","88","88"
"case_study_2","14","7","case_study_2_14_7","95","2","95","95"
"case_study_2","14","8","case_study_2_14_8","93","3","93","93"
"case_study_2","14","9","case_study_2_14_9","82","2","82","82"
"case_study_2","15","1","case_study_2_15_1","76","2","76","76"
"case_study_2","15","3","case_study_2_15_3","85","3","85","85"
"case_study_2","15","4","case_study_2_15_4","86","2","86","86"
"case_study_2","15","5","case_study_2_15_5","91","3","91","91"
"case_study_2","15","6","case_study_2_15_6","67","1","67","67"
"case_study_2","15","7","case_study_2_15_7","95","2","95","95"
"case_study_2","15","8","case_study_2_15_8","86","3","86","86"
"case_study_2","15","9","case_study_2_15_9","75","3","75","75"
"case_study_2","15","10","case_study_2_15_10","75","1","75","75"
"case_study_2","16","1","case_study_2_16_1","73","2","73","73"
"case_study_2","16","2","case_study_2_16_2","86","3","86","86"
"case_study_2","16","3","case_study_2_16_3","81","2","81","81"
"case_study_2","16","4","case_study_2_16_4","96","2","96","96"
"case_study_2","16","5","case_study_2_16_5","80","2","80","80"
"case_study_2","16","6","case_study_2_16_6","86","2","86","86"
"case_study_2","16","7","case_study_2_16_7","91","2","91","91"
"case_study_2","16","8","case_study_2_16_8","70","1","70","70"
"case_study_2","16","9","case_study_2_16_9","92","2","92","92"
"case_study_3","17","1","case_study_3_17_1","98.5","3","98.5","98.5"
"case_study_3","17","2","case_study_3_17_2","95","3","95","95"
"case_study_3","17","3","case_study_3_17_3","96","3","96","96"
"case_study_3","17","4","case_study_3_17_4","99","2","99","99"
"case_study_3","17","5","case_study_3_17_5","93.5","3","93.5","93.5"
"case_study_3","17","6","case_study_3_17_6","98.5","2","98.5","98.5"
"case_study_3","17","7","case_study_3_17_7","67","3","67","67"
"case_study_3","19","1","case_study_3_19_1","100","2","100","100"
"case_study_3","19","2","case_study_3_19_2","79","3","79","79"
"case_study_3","19","3","case_study_3_19_3","80","1","80","80"
"case_study_3","19","4","case_study_3_19_4","90.5","1","90.5","90.5"
"case_study_3","19","5","case_study_3_19_5","90.5","2","90.5","90.5"
"case_study_3","19","6","case_study_3_19_6","74.5","1","74.5","74.5"
"case_study_3","19","7","case_study_3_19_7","84","2","84","84"
"case_study_3","19","8","case_study_3_19_8","67.5","2","64","71"
"case_study_3","20","1","case_study_3_20_1","84.5","2","83","86"
"case_study_3","20","2","case_study_3_20_2","84.5","1","84.5","84.5"
"case_study_3","20","4","case_study_3_20_4","82","1","82","82"
"case_study_3","20","5","case_study_3_20_5","52","1","52","52"
"case_study_3","20","6","case_study_3_20_6","84","2","84","84"
