case_study,session_id,group_local,group_global,method,score,rank
case_study_1,1,1,case_study_1_1_1,R2R_copeland,4.037037037037037,9
case_study_1,1,1,case_study_1_1_1,R2R_borda,4.2444444444444445,9
case_study_1,1,1,case_study_1_1_1,Copeland,1.0,9
case_study_1,1,1,case_study_1_1_1,Borda,56.0,9
case_study_1,1,1,case_study_1_1_1,Mean,4.111111111111111,9
case_study_1,1,1,case_study_1_1_1,Median,4.0,7
case_study_1,1,2,case_study_1_1_2,R2R_copeland,5.074074074074074,4
case_study_1,1,2,case_study_1_1_2,R2R_borda,5.503703703703704,3
case_study_1,1,2,case_study_1_1_2,Copeland,6.0,4
case_study_1,1,2,case_study_1_1_2,Borda,158.0,3
case_study_1,1,2,case_study_1_1_2,Mean,4.814814814814815,2
case_study_1,1,2,case_study_1_1_2,Median,5.0,1
case_study_1,1,3,case_study_1_1_3,R2R_copeland,4.0,10
case_study_1,1,3,case_study_1_1_3,R2R_borda,4.2,10
case_study_1,1,3,case_study_1_1_3,Copeland,0.0,10
case_study_1,1,3,case_study_1_1_3,Borda,50.0,10
case_study_1,1,3,case_study_1_1_3,Mean,3.814814814814815,10
case_study_1,1,3,case_study_1_1_3,Median,4.0,7
case_study_1,1,4,case_study_1_1_4,R2R_copeland,5.111111111111111,3
case_study_1,1,4,case_study_1_1_4,R2R_borda,5.459259259259259,5
case_study_1,1,4,case_study_1_1_4,Copeland,7.0,3
case_study_1,1,4,case_study_1_1_4,Borda,148.0,5
case_study_1,1,4,case_study_1_1_4,Mean,4.703703703703703,3
case_study_1,1,4,case_study_1_1_4,Median,5.0,1
case_study_1,1,5,case_study_1_1_5,R2R_copeland,5.0,6
case_study_1,1,5,case_study_1_1_5,R2R_borda,5.333333333333333,6
case_study_1,1,5,case_study_1_1_5,Copeland,4.0,6
case_study_1,1,5,case_study_1_1_5,Borda,126.0,6
case_study_1,1,5,case_study_1_1_5,Mean,4.555555555555555,5
case_study_1,1,5,case_study_1_1_5,Median,5.0,1
case_study_1,1,6,case_study_1_1_6,R2R_copeland,5.185185185185185,1
case_study_1,1,6,case_study_1_1_6,R2R_borda,5.681481481481481,1
case_study_1,1,6,case_study_1_1_6,Copeland,9.0,1
case_study_1,1,6,case_study_1_1_6,Borda,182.0,1
case_study_1,1,6,case_study_1_1_6,Mean,4.851851851851852,1
case_study_1,1,6,case_study_1_1_6,Median,5.0,1
case_study_1,1,7,case_study_1_1_7,R2R_copeland,4.111111111111111,7
case_study_1,1,7,case_study_1_1_7,R2R_borda,4.377777777777778,7
case_study_1,1,7,case_study_1_1_7,Copeland,3.0,7
case_study_1,1,7,case_study_1_1_7,Borda,95.0,7
case_study_1,1,7,case_study_1_1_7,Mean,4.185185185185185,7
case_study_1,1,7,case_study_1_1_7,Median,4.0,7
case_study_1,1,8,case_study_1_1_8,R2R_copeland,5.148148148148148,2
case_study_1,1,8,case_study_1_1_8,R2R_borda,5.555555555555555,2
case_study_1,1,8,case_study_1_1_8,Copeland,8.0,2
case_study_1,1,8,case_study_1_1_8,Borda,162.0,2
case_study_1,1,8,case_study_1_1_8,Mean,4.62962962962963,4
case_study_1,1,8,case_study_1_1_8,Median,5.0,1
case_study_1,1,9,case_study_1_1_9,R2R_copeland,4.074074074074074,8
case_study_1,1,9,case_study_1_1_9,R2R_borda,4.377777777777778,7
case_study_1,1,9,case_study_1_1_9,Copeland,2.0,8
case_study_1,1,9,case_study_1_1_9,Borda,88.0,8
case_study_1,1,9,case_study_1_1_9,Mean,4.185185185185185,7
case_study_1,1,9,case_study_1_1_9,Median,4.0,7
case_study_1,1,10,case_study_1_1_10,R2R_copeland,5.037037037037037,5
case_study_1,1,10,case_study_1_1_10,R2R_borda,5.466666666666667,4
case_study_1,1,10,case_study_1_1_10,Copeland,5.0,5
case_study_1,1,10,case_study_1_1_10,Borda,150.0,4
case_study_1,1,10,case_study_1_1_10,Mean,4.518518518518518,6
case_study_1,1,10,case_study_1_1_10,Median,5.0,1
case_study_1,2,1,case_study_1_2_1,R2R_copeland,4.041666666666667,8
case_study_1,2,1,case_study_1_2_1,R2R_borda,4.266666666666667,8
case_study_1,2,1,case_study_1_2_1,Copeland,4.0,6
case_study_1,2,1,case_study_1_2_1,Borda,92.0,6
case_study_1,2,1,case_study_1_2_1,Mean,4.25,6
case_study_1,2,1,case_study_1_2_1,Median,4.0,6
case_study_1,2,2,case_study_1_2_2,R2R_copeland,5.055416666666667,3
case_study_1,2,2,case_study_1_2_2,R2R_borda,5.3,4
case_study_1,2,2,case_study_1_2_2,Copeland,2.33,7
case_study_1,2,2,case_study_1_2_2,Borda,86.0,7
case_study_1,2,2,case_study_1_2_2,Mean,4.75,1
case_study_1,2,2,case_study_1_2_2,Median,5.0,1
case_study_1,2,3,case_study_1_2_3,R2R_copeland,4.125,6
case_study_1,2,3,case_study_1_2_3,R2R_borda,4.508333333333333,6
case_study_1,2,3,case_study_1_2_3,Copeland,8.0,2
case_study_1,2,3,case_study_1_2_3,Borda,159.0,2
case_study_1,2,3,case_study_1_2_3,Mean,3.8333333333333335,8
case_study_1,2,3,case_study_1_2_3,Median,4.0,6
case_study_1,2,4,case_study_1_2_4,R2R_copeland,5.01375,5
case_study_1,2,4,case_study_1_2_4,R2R_borda,5.25,5
case_study_1,2,4,case_study_1_2_4,Copeland,1.33,9
case_study_1,2,4,case_study_1_2_4,Borda,67.0,9
case_study_1,2,4,case_study_1_2_4,Mean,4.416666666666667,4
case_study_1,2,4,case_study_1_2_4,Median,5.0,1
case_study_1,2,5,case_study_1_2_5,R2R_copeland,4.083333333333333,7
case_study_1,2,5,case_study_1_2_5,R2R_borda,4.383333333333334,7
case_study_1,2,5,case_study_1_2_5,Copeland,5.33,4
case_study_1,2,5,case_study_1_2_5,Borda,127.0,5
case_study_1,2,5,case_study_1_2_5,Mean,3.9583333333333335,7
case_study_1,2,5,case_study_1_2_5,Median,4.0,6
case_study_1,2,6,case_study_1_2_6,R2R_copeland,5.0275,4
case_study_1,2,6,case_study_1_2_6,R2R_borda,5.308333333333334,3
case_study_1,2,6,case_study_1_2_6,Copeland,1.6600000000000001,8
case_study_1,2,6,case_study_1_2_6,Borda,86.0,7
case_study_1,2,6,case_study_1_2_6,Mean,4.333333333333333,5
case_study_1,2,6,case_study_1_2_6,Median,5.0,1
case_study_1,2,7,case_study_1_2_7,R2R_copeland,5.125,2
case_study_1,2,7,case_study_1_2_7,R2R_borda,5.466666666666667,2
case_study_1,2,7,case_study_1_2_7,Copeland,5.33,4
case_study_1,2,7,case_study_1_2_7,Borda,128.0,4
case_study_1,2,7,case_study_1_2_7,Mean,4.583333333333333,2
case_study_1,2,7,case_study_1_2_7,Median,5.0,1
case_study_1,2,8,case_study_1_2_8,R2R_copeland,5.166666666666667,1
case_study_1,2,8,case_study_1_2_8,R2R_borda,5.675,1
case_study_1,2,8,case_study_1_2_8,Copeland,9.0,1
case_study_1,2,8,case_study_1_2_8,Borda,172.0,1
case_study_1,2,8,case_study_1_2_8,Mean,4.458333333333333,3
case_study_1,2,8,case_study_1_2_8,Median,5.0,1
case_study_1,2,9,case_study_1_2_9,R2R_copeland,3.0,10
case_study_1,2,9,case_study_1_2_9,R2R_borda,3.0,10
case_study_1,2,9,case_study_1_2_9,Copeland,7.0,3
case_study_1,2,9,case_study_1_2_9,Borda,145.0,3
case_study_1,2,9,case_study_1_2_9,Mean,3.1666666666666665,10
case_study_1,2,9,case_study_1_2_9,Median,3.0,10
case_study_1,2,10,case_study_1_2_10,R2R_copeland,4.0,9
case_study_1,2,10,case_study_1_2_10,R2R_borda,4.041666666666667,9
case_study_1,2,10,case_study_1_2_10,Copeland,0.0,10
case_study_1,2,10,case_study_1_2_10,Borda,18.0,10
case_study_1,2,10,case_study_1_2_10,Mean,3.7083333333333335,9
case_study_1,2,10,case_study_1_2_10,Median,4.0,6
case_study_1,3,1,case_study_1_3_1,R2R_copeland,5.0,4
case_study_1,3,1,case_study_1_3_1,R2R_borda,5.186206896551724,4
case_study_1,3,1,case_study_1_3_1,Copeland,4.0,6
case_study_1,3,1,case_study_1_3_1,Borda,131.0,5
case_study_1,3,1,case_study_1_3_1,Mean,4.310344827586207,4
case_study_1,3,1,case_study_1_3_1,Median,5.0,1
case_study_1,3,2,case_study_1_3_2,R2R_copeland,4.068965517241379,8
case_study_1,3,2,case_study_1_3_2,R2R_borda,4.475862068965517,8
case_study_1,3,2,case_study_1_3_2,Copeland,2.0,8
case_study_1,3,2,case_study_1_3_2,Borda,100.0,8
case_study_1,3,2,case_study_1_3_2,Mean,4.103448275862069,8
case_study_1,3,2,case_study_1_3_2,Median,4.0,5
case_study_1,3,3,case_study_1_3_3,R2R_copeland,5.103448275862069,1
case_study_1,3,3,case_study_1_3_3,R2R_borda,5.413793103448276,1
case_study_1,3,3,case_study_1_3_3,Copeland,9.0,1
case_study_1,3,3,case_study_1_3_3,Borda,202.0,1
case_study_1,3,3,case_study_1_3_3,Mean,4.9655172413793105,1
case_study_1,3,3,case_study_1_3_3,Median,5.0,1
case_study_1,3,4,case_study_1_3_4,R2R_copeland,5.068965517241379,2
case_study_1,3,4,case_study_1_3_4,R2R_borda,5.317241379310345,2
case_study_1,3,4,case_study_1_3_4,Copeland,8.0,2
case_study_1,3,4,case_study_1_3_4,Borda,170.0,2
case_study_1,3,4,case_study_1_3_4,Mean,4.586206896551724,2
case_study_1,3,4,case_study_1_3_4,Median,5.0,1
case_study_1,3,5,case_study_1_3_5,R2R_copeland,4.0,10
case_study_1,3,5,case_study_1_3_5,R2R_borda,4.393103448275862,9
case_study_1,3,5,case_study_1_3_5,Copeland,0.0,10
case_study_1,3,5,case_study_1_3_5,Borda,85.0,9
case_study_1,3,5,case_study_1_3_5,Mean,3.8275862068965516,9
case_study_1,3,5,case_study_1_3_5,Median,4.0,5
case_study_1,3,6,case_study_1_3_6,R2R_copeland,4.137931034482759,6
case_study_1,3,6,case_study_1_3_6,R2R_borda,4.63448275862069,5
case_study_1,3,6,case_study_1_3_6,Copeland,5.0,5
case_study_1,3,6,case_study_1_3_6,Borda,139.0,4
case_study_1,3,6,case_study_1_3_6,Mean,4.241379310344827,6
case_study_1,3,6,case_study_1_3_6,Median,4.0,5
case_study_1,3,7,case_study_1_3_7,R2R_copeland,4.103448275862069,7
case_study_1,3,7,case_study_1_3_7,R2R_borda,4.531034482758621,7
case_study_1,3,7,case_study_1_3_7,Copeland,3.0,7
case_study_1,3,7,case_study_1_3_7,Borda,112.0,7
case_study_1,3,7,case_study_1_3_7,Mean,4.275862068965517,5
case_study_1,3,7,case_study_1_3_7,Median,4.0,5
case_study_1,3,8,case_study_1_3_8,R2R_copeland,4.0344827586206895,9
case_study_1,3,8,case_study_1_3_8,R2R_borda,4.3517241379310345,10
case_study_1,3,8,case_study_1_3_8,Copeland,1.0,9
case_study_1,3,8,case_study_1_3_8,Borda,73.0,10
case_study_1,3,8,case_study_1_3_8,Mean,3.7586206896551726,10
case_study_1,3,8,case_study_1_3_8,Median,4.0,5
case_study_1,3,9,case_study_1_3_9,R2R_copeland,4.172413793103448,5
case_study_1,3,9,case_study_1_3_9,R2R_borda,4.613793103448276,6
case_study_1,3,9,case_study_1_3_9,Copeland,6.0,4
case_study_1,3,9,case_study_1_3_9,Borda,126.0,6
case_study_1,3,9,case_study_1_3_9,Mean,4.172413793103448,7
case_study_1,3,9,case_study_1_3_9,Median,4.0,5
case_study_1,3,10,case_study_1_3_10,R2R_copeland,5.0344827586206895,3
case_study_1,3,10,case_study_1_3_10,R2R_borda,5.2827586206896555,3
case_study_1,3,10,case_study_1_3_10,Copeland,7.0,3
case_study_1,3,10,case_study_1_3_10,Borda,167.0,3
case_study_1,3,10,case_study_1_3_10,Mean,4.448275862068965,3
case_study_1,3,10,case_study_1_3_10,Median,5.0,1
case_study_1,4,1,case_study_1_4_1,R2R_copeland,5.0,2
case_study_1,4,1,case_study_1_4_1,R2R_borda,5.090909090909091,2
case_study_1,4,1,case_study_1_4_1,Copeland,7.0,2
case_study_1,4,1,case_study_1_4_1,Borda,128.0,2
case_study_1,4,1,case_study_1_4_1,Mean,4.7272727272727275,2
case_study_1,4,1,case_study_1_4_1,Median,5.0,1
case_study_1,4,2,case_study_1_4_2,R2R_copeland,4.090909090909091,7
case_study_1,4,2,case_study_1_4_2,R2R_borda,4.3545454545454545,8
case_study_1,4,2,case_study_1_4_2,Copeland,2.0,7
case_study_1,4,2,case_study_1_4_2,Borda,43.0,8
case_study_1,4,2,case_study_1_4_2,Mean,3.8181818181818183,9
case_study_1,4,2,case_study_1_4_2,Median,4.0,3
case_study_1,4,3,case_study_1_4_3,R2R_copeland,4.181818181818182,5
case_study_1,4,3,case_study_1_4_3,R2R_borda,4.7727272727272725,5
case_study_1,4,3,case_study_1_4_3,Copeland,4.0,5
case_study_1,4,3,case_study_1_4_3,Borda,99.0,5
case_study_1,4,3,case_study_1_4_3,Mean,4.363636363636363,4
case_study_1,4,3,case_study_1_4_3,Median,4.0,3
case_study_1,4,4,case_study_1_4_4,R2R_copeland,5.045454545454546,1
case_study_1,4,4,case_study_1_4_4,R2R_borda,5.109090909090909,1
case_study_1,4,4,case_study_1_4_4,Copeland,8.0,1
case_study_1,4,4,case_study_1_4_4,Borda,137.0,1
case_study_1,4,4,case_study_1_4_4,Mean,4.7727272727272725,1
case_study_1,4,4,case_study_1_4_4,Median,5.0,1
case_study_1,4,5,case_study_1_4_5,R2R_copeland,4.136363636363637,6
case_study_1,4,5,case_study_1_4_5,R2R_borda,4.681818181818182,6
case_study_1,4,5,case_study_1_4_5,Copeland,3.0,6
case_study_1,4,5,case_study_1_4_5,Borda,86.0,6
case_study_1,4,5,case_study_1_4_5,Mean,4.2272727272727275,6
case_study_1,4,5,case_study_1_4_5,Median,4.0,3
case_study_1,4,6,case_study_1_4_6,R2R_copeland,4.2272727272727275,4
case_study_1,4,6,case_study_1_4_6,R2R_borda,4.818181818181818,4
case_study_1,4,6,case_study_1_4_6,Copeland,5.0,4
case_study_1,4,6,case_study_1_4_6,Borda,105.0,4
case_study_1,4,6,case_study_1_4_6,Mean,4.318181818181818,5
case_study_1,4,6,case_study_1_4_6,Median,4.0,3
case_study_1,4,7,case_study_1_4_7,R2R_copeland,4.045454545454546,8
case_study_1,4,7,case_study_1_4_7,R2R_borda,4.372727272727273,7
case_study_1,4,7,case_study_1_4_7,Copeland,1.0,8
case_study_1,4,7,case_study_1_4_7,Borda,46.0,7
case_study_1,4,7,case_study_1_4_7,Mean,3.9545454545454546,7
case_study_1,4,7,case_study_1_4_7,Median,4.0,3
case_study_1,4,8,case_study_1_4_8,R2R_copeland,4.0,9
case_study_1,4,8,case_study_1_4_8,R2R_borda,4.327272727272727,9
case_study_1,4,8,case_study_1_4_8,Copeland,0.0,9
case_study_1,4,8,case_study_1_4_8,Borda,39.0,9
case_study_1,4,8,case_study_1_4_8,Mean,3.8636363636363638,8
case_study_1,4,8,case_study_1_4_8,Median,4.0,3
case_study_1,4,9,case_study_1_4_9,R2R_copeland,4.2727272727272725,3
case_study_1,4,9,case_study_1_4_9,R2R_borda,4.872727272727273,3
case_study_1,4,9,case_study_1_4_9,Copeland,6.0,3
case_study_1,4,9,case_study_1_4_9,Borda,109.0,3
case_study_1,4,9,case_study_1_4_9,Mean,4.454545454545454,3
case_study_1,4,9,case_study_1_4_9,Median,4.0,3
case_study_1,5,1,case_study_1_5_1,R2R_copeland,4.148148148148148,4
case_study_1,5,1,case_study_1_5_1,R2R_borda,4.533333333333333,4
case_study_1,5,1,case_study_1_5_1,Copeland,6.0,4
case_study_1,5,1,case_study_1_5_1,Borda,151.0,4
case_study_1,5,1,case_study_1_5_1,Mean,4.333333333333333,4
case_study_1,5,1,case_study_1_5_1,Median,4.0,4
case_study_1,5,2,case_study_1_5_2,R2R_copeland,4.074074074074074,6
case_study_1,5,2,case_study_1_5_2,R2R_borda,4.355555555555555,7
case_study_1,5,2,case_study_1_5_2,Copeland,4.0,6
case_study_1,5,2,case_study_1_5_2,Borda,108.0,7
case_study_1,5,2,case_study_1_5_2,Mean,3.925925925925926,7
case_study_1,5,2,case_study_1_5_2,Median,4.0,4
case_study_1,5,3,case_study_1_5_3,R2R_copeland,4.111111111111111,5
case_study_1,5,3,case_study_1_5_3,R2R_borda,4.451851851851852,5
case_study_1,5,3,case_study_1_5_3,Copeland,5.0,5
case_study_1,5,3,case_study_1_5_3,Borda,136.0,5
case_study_1,5,3,case_study_1_5_3,Mean,4.185185185185185,5
case_study_1,5,3,case_study_1_5_3,Median,4.0,4
case_study_1,5,4,case_study_1_5_4,R2R_copeland,4.037037037037037,7
case_study_1,5,4,case_study_1_5_4,R2R_borda,4.377777777777778,6
case_study_1,5,4,case_study_1_5_4,Copeland,3.0,7
case_study_1,5,4,case_study_1_5_4,Borda,113.0,6
case_study_1,5,4,case_study_1_5_4,Mean,4.0,6
case_study_1,5,4,case_study_1_5_4,Median,4.0,4
case_study_1,5,5,case_study_1_5_5,R2R_copeland,4.0,8
case_study_1,5,5,case_study_1_5_5,R2R_borda,4.281481481481482,8
case_study_1,5,5,case_study_1_5_5,Copeland,2.0,8
case_study_1,5,5,case_study_1_5_5,Borda,95.0,8
case_study_1,5,5,case_study_1_5_5,Mean,3.740740740740741,8
case_study_1,5,5,case_study_1_5_5,Median,4.0,4
case_study_1,5,6,case_study_1_5_6,R2R_copeland,5.0,3
case_study_1,5,6,case_study_1_5_6,R2R_borda,5.140740740740741,3
case_study_1,5,6,case_study_1_5_6,Copeland,7.0,3
case_study_1,5,6,case_study_1_5_6,Borda,165.0,2
case_study_1,5,6,case_study_1_5_6,Mean,4.37037037037037,2
case_study_1,5,6,case_study_1_5_6,Median,5.0,1
case_study_1,5,7,case_study_1_5_7,R2R_copeland,3.037037037037037,9
case_study_1,5,7,case_study_1_5_7,R2R_borda,3.1037037037037036,9
case_study_1,5,7,case_study_1_5_7,Copeland,1.0,9
case_study_1,5,7,case_study_1_5_7,Borda,38.0,10
case_study_1,5,7,case_study_1_5_7,Mean,3.185185185185185,9
case_study_1,5,7,case_study_1_5_7,Median,3.0,9
case_study_1,5,8,case_study_1_5_8,R2R_copeland,5.037037037037037,2
case_study_1,5,8,case_study_1_5_8,R2R_borda,5.162962962962963,2
case_study_1,5,8,case_study_1_5_8,Copeland,8.0,2
case_study_1,5,8,case_study_1_5_8,Borda,162.0,3
case_study_1,5,8,case_study_1_5_8,Mean,4.37037037037037,2
case_study_1,5,8,case_study_1_5_8,Median,5.0,1
case_study_1,5,9,case_study_1_5_9,R2R_copeland,3.0,10
case_study_1,5,9,case_study_1_5_9,R2R_borda,3.096296296296296,10
case_study_1,5,9,case_study_1_5_9,Copeland,0.0,10
case_study_1,5,9,case_study_1_5_9,Borda,42.0,9
case_study_1,5,9,case_study_1_5_9,Mean,3.185185185185185,9
case_study_1,5,9,case_study_1_5_9,Median,3.0,9
case_study_1,5,10,case_study_1_5_10,R2R_copeland,5.074074074074074,1
case_study_1,5,10,case_study_1_5_10,R2R_borda,5.296296296296296,1
case_study_1,5,10,case_study_1_5_10,Copeland,9.0,1
case_study_1,5,10,case_study_1_5_10,Borda,205.0,1
case_study_1,5,10,case_study_1_5_10,Mean,4.814814814814815,1
case_study_1,5,10,case_study_1_5_10,Median,5.0,1
case_study_1,6,1,case_study_1_6_1,R2R_copeland,3.0097058823529412,11
case_study_1,6,1,case_study_1_6_1,R2R_borda,3.2705882352941176,11
case_study_1,6,1,case_study_1_6_1,Copeland,0.33,11
case_study_1,6,1,case_study_1_6_1,Borda,105.0,11
case_study_1,6,1,case_study_1_6_1,Mean,3.0294117647058822,11
case_study_1,6,1,case_study_1_6_1,Median,3.0,10
case_study_1,6,2,case_study_1_6_2,R2R_copeland,4.205882352941177,1
case_study_1,6,2,case_study_1_6_2,R2R_borda,4.870588235294118,1
case_study_1,6,2,case_study_1_6_2,Copeland,11.0,1
case_study_1,6,2,case_study_1_6_2,Borda,252.0,1
case_study_1,6,2,case_study_1_6_2,Mean,4.029411764705882,1
case_study_1,6,2,case_study_1_6_2,Median,4.0,1
case_study_1,6,3,case_study_1_6_3,R2R_copeland,4.048823529411765,5
case_study_1,6,3,case_study_1_6_3,R2R_borda,4.670588235294118,4
case_study_1,6,3,case_study_1_6_3,Copeland,5.66,5
case_study_1,6,3,case_study_1_6_3,Borda,211.0,4
case_study_1,6,3,case_study_1_6_3,Mean,3.823529411764706,4
case_study_1,6,3,case_study_1_6_3,Median,4.0,1
case_study_1,6,4,case_study_1_6_4,R2R_copeland,4.0391176470588235,7
case_study_1,6,4,case_study_1_6_4,R2R_borda,4.605882352941176,8
case_study_1,6,4,case_study_1_6_4,Copeland,5.33,7
case_study_1,6,4,case_study_1_6_4,Borda,194.0,7
case_study_1,6,4,case_study_1_6_4,Mean,3.7058823529411766,5
case_study_1,6,4,case_study_1_6_4,Median,4.0,1
case_study_1,6,5,case_study_1_6_5,R2R_copeland,3.0588235294117645,10
case_study_1,6,5,case_study_1_6_5,R2R_borda,3.317647058823529,10
case_study_1,6,5,case_study_1_6_5,Copeland,2.0,10
case_study_1,6,5,case_study_1_6_5,Borda,140.0,10
case_study_1,6,5,case_study_1_6_5,Mean,3.2058823529411766,10
case_study_1,6,5,case_study_1_6_5,Median,3.0,10
case_study_1,6,6,case_study_1_6_6,R2R_copeland,4.147058823529412,3
case_study_1,6,6,case_study_1_6_6,R2R_borda,4.752941176470588,3
case_study_1,6,6,case_study_1_6_6,Copeland,9.0,3
case_study_1,6,6,case_study_1_6_6,Borda,229.0,3
case_study_1,6,6,case_study_1_6_6,Mean,3.8823529411764706,2
case_study_1,6,6,case_study_1_6_6,Median,4.0,1
case_study_1,6,7,case_study_1_6_7,R2R_copeland,3.588235294117647,9
case_study_1,6,7,case_study_1_6_7,R2R_borda,3.888235294117647,9
case_study_1,6,7,case_study_1_6_7,Copeland,4.0,8
case_study_1,6,7,case_study_1_6_7,Borda,178.0,9
case_study_1,6,7,case_study_1_6_7,Mean,3.3529411764705883,9
case_study_1,6,7,case_study_1_6_7,Median,3.5,9
case_study_1,6,8,case_study_1_6_8,R2R_copeland,4.097941176470588,4
case_study_1,6,8,case_study_1_6_8,R2R_borda,4.635294117647058,5
case_study_1,6,8,case_study_1_6_8,Copeland,7.33,4
case_study_1,6,8,case_study_1_6_8,Borda,202.0,5
case_study_1,6,8,case_study_1_6_8,Mean,3.6176470588235294,7
case_study_1,6,8,case_study_1_6_8,Median,4.0,1
case_study_1,6,9,case_study_1_6_9,R2R_copeland,4.048823529411765,5
case_study_1,6,9,case_study_1_6_9,R2R_borda,4.635294117647058,5
case_study_1,6,9,case_study_1_6_9,Copeland,5.66,5
case_study_1,6,9,case_study_1_6_9,Borda,201.0,6
case_study_1,6,9,case_study_1_6_9,Mean,3.6470588235294117,6
case_study_1,6,9,case_study_1_6_9,Median,4.0,1
case_study_1,6,10,case_study_1_6_10,R2R_copeland,4.176470588235294,2
case_study_1,6,10,case_study_1_6_10,R2R_borda,4.805882352941176,2
case_study_1,6,10,case_study_1_6_10,Copeland,10.0,2
case_study_1,6,10,case_study_1_6_10,Borda,244.0,2
case_study_1,6,10,case_study_1_6_10,Mean,3.8823529411764706,2
case_study_1,6,10,case_study_1_6_10,Median,4.0,1
case_study_1,6,11,case_study_1_6_11,R2R_copeland,4.0194117647058825,8
case_study_1,6,11,case_study_1_6_11,R2R_borda,4.623529411764705,7
case_study_1,6,11,case_study_1_6_11,Copeland,3.66,9
case_study_1,6,11,case_study_1_6_11,Borda,183.0,8
case_study_1,6,11,case_study_1_6_11,Mean,3.5294117647058822,8
case_study_1,6,11,case_study_1_6_11,Median,4.0,1
case_study_1,6,12,case_study_1_6_12,R2R_copeland,3.0097058823529412,11
case_study_1,6,12,case_study_1_6_12,R2R_borda,3.223529411764706,12
